"","ym","Market_RET"
"171","1995.02",0.193649389263756
"172","1995.03",8.29773370844936
"173","1995.04",1.76257590813178
"174","1995.05",2.46334003711551
"175","1995.06",0.30741134753173
"176","1995.07",6.24272185951937
"177","1995.08",-1.54529629312773
"178","1995.09",4.11264136998923
"179","1995.10",0.136016500923467
"180","1995.11",0.75570073220337
"181","1995.12",2.90842843830323
"182","1996.01",-0.0151453481521594
"183","1996.02",1.61202859382509
"184","1996.03",1.45517109821438
"185","1996.04",2.95573056245408
"186","1996.05",2.45077867294742
"187","1996.06",-0.507746355821591
"188","1996.07",-0.34456916113767
"189","1996.08",5.67252245544384
"190","1996.09",1.87359094934856
"191","1996.10",5.35897240296024
"192","1996.11",5.58221654305972
"193","1996.12",3.91218125635158
"194","1997.01",-2.55168652589927
