"","Id","ym","RET.USD"
"230","135090",2004-06-01,-17.1024
"231","135090",2004-09-01,NA
"232","135090",2004-12-01,NA
"233","135090",2005-03-01,NA
"234","135090",2005-06-01,NA
"235","135090",2005-09-01,NA
"236","135090",2005-12-01,NA
"237","135090",2006-03-01,NA
"238","135090",2006-06-01,NA
"239","135090",2006-09-01,NA
"240","135090",2006-12-01,NA
"241","135090",2007-03-01,NA
"242","135090",2007-06-01,NA
"243","135090",2007-09-01,NA
"244","135090",2007-12-01,NA
"245","135090",2008-03-01,NA
"246","135090",2008-06-01,NA
"247","135090",2008-09-01,NA
"248","135090",2009-09-01,NA
"249","135090",2010-03-01,NA
"250","135090",2010-06-01,NA
"251","135090",2010-12-01,NA
"252","135090",2011-03-01,NA
"253","135090",2011-06-01,NA
"254","135090",2011-09-01,NA
"255","135090",2011-12-01,NA
"256","135090",2012-03-01,NA
"257","135090",2012-06-01,NA
"258","135090",2012-09-01,NA
"259","135090",2012-12-01,NA
"260","135090",2013-03-01,NA
"261","135090",2013-06-01,NA
"262","135090",2013-09-01,NA
"263","135090",2013-12-01,NA
"264","135090",2014-03-01,NA
"265","135090",2014-06-01,NA
"266","135090",2014-09-01,NA
"267","135090",2014-12-01,NA
"268","135090",2015-03-01,NA
"269","135090",2015-06-01,NA
"270","135090",2015-09-01,NA
"271","135090",2015-12-01,NA
"272","135090",2016-03-01,NA
"273","135090",2016-06-01,NA
"274","135090",2016-09-01,NA
"275","135090",2016-12-01,NA
"276","135090",2017-03-01,NA
"277","135090",2017-06-01,NA
"278","135090",2017-12-01,NA
"279","135090",2018-03-01,NA
"280","135090",2018-06-01,NA
"281","135090",2018-09-01,NA
"282","135090",2018-12-01,NA
"283","135090",2019-03-01,NA
"284","135090",2019-06-01,NA
"285","135090",2019-12-01,NA
"286","135090",2020-09-01,NA
"287","135090",2020-12-01,NA
"288","135090",2021-03-01,NA
"289","135090",2021-06-01,NA
"290","135090",2021-09-01,NA
"291","135090",2021-12-01,NA
"292","135092",1994-12-01,-0.0415
"293","135092",1995-03-01,3.8377
"294","135092",1995-06-01,0.1479
"295","135092",1995-09-01,1.0854
"296","135092",1995-12-01,1.507
"297","135092",1996-03-01,-1.3048
"298","135092",1996-06-01,-2.1069
"299","135092",1996-09-01,0.0256
